model_name,model_config,seq_len,batch_size,model_size_mb,activation_memory_mb,kv_cache_mb,reserved_memory_mb,total_memory_mb
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,49152,1,994.51,6253.17,0.0,8718.0,7247.68
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,57344,1,994.51,7293.29,0.0,9998.0,8287.81
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,65536,1,994.51,8333.42,0.0,11278.0,9327.93
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,81920,1,994.51,10414.67,0.0,13842.0,11409.18
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,98304,1,994.51,12497.92,0.0,16408.0,13492.43
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,114688,1,994.51,14578.17,0.0,18968.0,15572.68
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,131072,1,994.51,16658.42,0.0,21528.0,17652.93
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,147456,1,994.51,18740.12,0.0,19900.0,19734.64
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,163840,1,994.51,20823.25,0.0,21996.0,21817.76

